ratings,titles,comments
5,Cực kì hài lòng,Hài lòng 👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻
4,Hài lòng,"- Miếng lót mềm, êm, dễ sử dụng.
- Lót vào giúp giảm size hiệu quả. 
- Tuy nhiên khi mang vào cảm giác hơi trơn trượt, mang thêm vớ thì ok hơn. Có thể do chưa đi quen. Nên sẽ dùng và cảm nhận thêm. Thanks shop"
1,Rất không hài lòng,"Thấy mọi ng khen quá trời nên cũng mua về dùng thử, nhưng dán vào xong đi nó kỳ kỳ lại phải gỡ ra rồi nhét bông gòn vào đi tiếp vậy. Miếng dán thêm vào khiến bước chân cứ phập phồng k ổn."
5,Cực kì hài lòng,Tốt. Đã cứu vớt xong đôi giày xinh xắn mà form hơi bị rộng. Không biết có bền không nhưng kệ cứ xài đã có gì thì mua thêm miếng khác để dành.
4,Hài lòng,khá ưng về hình thức.  Còn chưa xử dùng nên chưa nói đến  chất lượng.  cảm thấy lo ngại với miếng dán gót dùng loại băng dính ko chắc chắn
5,Cực kì hài lòng,"Sản phẩm nhận được giống hình, lót vào giày rất khớp và mang rất êm chân. Nhân viên giao hàng lịch sự, sản phẩm đóng gói rất kỹ"
4,Hài lòng,"chất liệu rất ưng ý, hàng đẹp giá phải chăng, tiện dụng cho các sezi, nhưng mới nhận hàng sáng nay chưa thử đcj"
5,Cực kì hài lòng,"Mình cũng mua và dùng thử, rất hài lòng. Giày rộng cỡ 1 size thì lót vào ok lắm luôn, còn hơi rộng khoãng nữa size thì lót vào chật"
5,Miếng dán lót giày,"Miếng dán dễ dùng, cho nhiều size giày khác nhau, giúp giày êm và đỡ rộng hơn size giày thật, ưng ý"
4,ok,"Miếng lót dày dặn, chất lượng tốt. Tuy nhiên do giày mình nông quá hay sao ý mà mình đi vẫn bị tuột gót nên ko xài được."
4,"5* cho tiki, 3* cho sản phẩm","Đầu tiên cho tiki 5* trước đã vì giao hàng rất nhanh và chuyên nghiệp, ko như các đvvc khác.
Đầu tiên mình đặt bên shop ""RED TIDE"".
Về sản phẩm thì cho 1* về đóng gói bao bì, hộp thì rách, móp méo.
về giầy thì cho 2* vì khá nhiều vết bẩn linh tinh, nhìn rất khó chịu, phải đi giặt lại.
Giầy thì form đẹp, chuẩn size, xung quay viền bằng da, còn lại chủ yếu là vải lưới mang rất thoáng. Giầy có lớp mút mềm nên mang êm chân.
Chỉ thừa khá nhiều, gia công không dc tốt.
Đế giầy làm từ cao su dẻo nên rất nhẹ, mang khá thích... nhưng bù lại rất nhanh mòn đế.
Tiền nào của nấy thôi, ko đòi hỏi cao dc..
Nói chung tạm hài lòng...
Đánh giá tổng thể sản phẩm: 3*"
5,Cực kì hài lòng,"Rất đẹp,  rất giống hình mẫu. 
Bọc kĩ càng. 2 lớp hộp mà mình vứt 1 hộp rồi. 
Giày có lót giấy mềm để giữ Font giày.
Mang vừa chân luôn. 
Lần đầu mua Tiki và cũng cực kì bất ngờ về chất lượng. Quá tuyệt vời."
5,Cực kì hài lòng,hàng rất là ok y như hình mà có cái đóng gói hơi sơ sài nha !!
4,Hài lòng,"giống mẫu, đúng size, mang vào và đi thử rất im, có cái lộ đường keo ở mũi giày. Sản Phẩm giày sneaker nâng chiều cao của shop đạt mức hài lòng👍👍👍"
5,Rất thích hàng i như hình,"Giày đẹp mang rất êm luôn thoải mái nữa
Mà đế thì có vẻ hơi mền chút nhưng hôg sao
Cám ơn tiki nhe nũa ủng hộ tiếp :3😆😚"
5,Cực kì hài lòng,Nhìn chung thì với giá tiền vậy thì cũng ổn. nhưng shop ơi vận chuyển mà hộp méo mó mất cảm tình. Cảm ơn tiki và người giao hàng thân thiện !
5,Hài lòng 😂😂😂😂😂,"Hàng giống hình 
Rất đẹp
Anh shipper nhiệt tình vui tính
Luôn ủng hộ Shop và TiKi
TiKi bấm là có!!!"
5,Cực kì hài lòng,"Lần đầu tiên mua hàng ở tiki mà vô cùng chất lượng đẹp, giao hàng khá nhanh, shiper thán thiện vui tính, cảm ơn tiki rất nhìu!"
5,Giày ok và khá đẹp,Chất lượng giày và giá phù hợp. Mang cũng khá thoải mái và vừa. Kiểu dáng cũng đẹp và chất
5,Cực kì hài lòng,"Đặt hôm 20/01 cứ nghĩ sau tết mới được giao ai ngờ 23/01 đúng hôm cuối cùng mấy anh shiper làm thì hàng tới , hàng tốt , khá giống hình ! ♥♥♥♥ yêu tiki wá"
5,Khá ok,"Mình không phải dân chuyên nên mua bộ này để tập tành thôi, haizzz, hơi buồn vì mua có 2 hộp mà tiki để trong cái hộp bự chà bá, mở ra thì hộp màu bị mở nắp luon, hộp trông hơi cũ nhưng may chỉ bị gãy một màu :((. Chì cầm đã tay, tô cũng đã, đúng là hàng khá đắt có khác, màu lên đậm, k nhạt như 1 số review"
4,Đóng gói kém nhưng chất lượng phục vụ tốt,"Tuy chất lượng chì màu vẫn ổn, nhưng đóng gói kém, bao bì vỏ hộp màu như bao bì cũ, bị gập, dơ, hộp đựng sản phẩm của Tiki thì quá to và không tương thích với kích cỡ của hộp màu, đóng gói không chắc chắn. Dù vậy, giao hàng và chất lượng phục vụ của Tiki vẫn rất chuyên nghiệp, tuy đặt giao hàng thông thường nhưng hôm qua đặt mà hôm nay đã có rồi ^^."
4,Hài lòng,"Mình có nhu cầu mua để tô màu đơn giản thôi nên cũng không yêu cầu nhiều. Mình đặt thử vì thấy nhận xét nhiều, mình nhận hàng thì hộp giấy bị bung hết ra làm đầu ngòi va đập gãy hết, mình gọt và tô thử thấy nét tô mềm mịn, đậm đều, màu sắc rất mượt và êm, lên màu ổn. Mình khá hài lòng."
5,Very good for MarcoRaffine set 24 pieces,"Sản phẩm rất đẹp, màu mịn, chất lượng tốt. Các bạn mới vào nghề hay muốn tập phối màu thì nên dùng set 24 pieces này trước. Và nếu chọn loại giấy phù hợp như Canson hay PaintOn thì lên màu sẽ mịn và đẹp hơn rất nhiều...
Giao hàng nhanh, giá cả phù hợp. Rất hài lòng!"
