ratings,titles,comments
5,Lần sau đỡ phải mua áo UNI,"Đã nhận đc hàng của SHOP, Hàng giao nhanh đóng hàng cẩn thận. 
Mình thường xuyên mua áo UNI bên Thái Lan. Áo của shop mình khá ưng, thế là có 1 nơi tin cậy để mua áo . 
Tuyệt vời nữa là đặt nhầm 2 chiếc cùng màu lại lại shop đổi cho màu khác ( chat support may quá nhà bạn ấy gần nhà mình)"
5,Áo gì đâu mà mặc như không mặc,"Trước giờ em mua áo toàn ra tiệm ướm xem cái nào vừa không thì mới mua. Mà lần này đặt mua luôn 2 chiếc và giao ngay cho nóng. Đặt luôn giao luôn nhận luôn qua tikinow xong bóc mặc luôn. Áo nhẹ thật, sờ thích thật, sang,xịn mịn, mà mặc xong thấy kiểu như ko mặc vì mềm nhẹ. Em đã ném 1 cái đen vào máy giặt và cái trắng giặt tay để xem có bị xù vải ko thì vẫn thấy mượt như thường. Nhưng ban đầu thấy mềm mịn mượt là thích rồi."
5,Cực kì hài lòng,"Nhận đc mấy hôm rồi sáng nay m1 mặc thử đi làm mới cảm nhận áo.Chất mặc ngon lắm các cụ ạ+1,form áo mặc thoải mái+1,giao hàng tốt+1 đóng gói cẩn thận+1.ae shop tư vấn nhiệt tình+1.có khi phải học tập a mắc zu ken béc mua luôn chục cái mặc quanh năm đỡ phải nghĩ mặc gì thôi.kk.à nhưng shop có thêm áo xám thì tốt"
5,Cực kì hài lòng,Mình cũng hay mua áo thun để mặc thường xuyên. Nhưng với tầm giá này thì chất lượng ko thể chê gì được. Đường may kỹ và cẩn thận. Vải thì mềm và cảm giác sẽ thấm hút mồ hôi cực tốt và thoáng. Cứ như này thì dăm bữa áo trắng mình giữ ko dc lâu thì mua mới vẫn còn rẻ chán.
5,Sản phẩm chất lượng rất tốt,"Chất liệu vải này tương đương với áo 199K mình đã từng mua ở các Trung Tâm Thương Mại, thậm chí về kiểu dáng và độ thoải mái thì áo Japas có phần nhỉnh hơn. Shop Giao hàng nhanh, đặt tối hôm trước hôm sau đã nhận được hàng. Sẽ Ủng hộ thêm vài cái nữa mặc thay đổi!"
5,Cực kì hài lòng,"Cảm ơn shop vì đã giúp mình tìm ra chân ái áo phông của mình và ny mình. Từ cách đóng hàng cẩn thận và chất lượng sản phẩm tất cả mình đều rất ưng ý và đặc biệt any rất rất thích với món quà này ^^ Vì tìm kiếm chiếc áo phông mát, thấm hút tốt,bền màu bao lâu nay."
5,Cực kì hài lòng,"Đáng lé giá phải là 199k chứ cứ ko nên là 99k vì Chất vải này quá vượt trội. Mua 99k thì hời quá
Công nghệ Nhật bản nên mặt rất mát, vải ko quá mỏng, ko quá dày nên mặc rất thích. 
Sản phẩm mới 100% đúng size, mình thích màu đen nên nhìn làm ưng. 
Simple is the Bét."
5,Cực kỳ hài lòng,Là đàn ông mình cũng ít chăm chúc cho việc ăn mặc. Cứ kiếm đồ nào mặc thoải mái và mát mẻ là được. Nay được bạn giới thiệu shop này. Mua về mặc rất mát. Ngang với quần áo mình mua trong ở trung tâm thương mại. Mà giá lại chỉ bằng 1/5. Tóm lại là hài lòng. Đánh giá để lưu lại lần sau mua tiếp.
5,Cực kì hài lòng,"Mình nhận được hàng rồi nhé shop. Chồng mình là người khá kỹ tính trong quần áo mà còn khen. Lúc giặt vải còn mềm hơn và rất thoáng, độ dày vừa phải, không cảm giác bị bí bách. Mình thấy độ thấm hút của áo khá tốt. Nếu áo có thêm các màu khác hoặc thêm hình in nữa thì tuyệt vời hơn nhé"
5,Cực kì hài lòng,"mặc rất thích nha mọi người, mình 1m75 70kg, trước giờ thích mặc form áo kiểu rộng rãi 1 chút chứ ko thích kiểu fit vào người. Trước có mua áo của coolmate thì size to nhất của bên đó mặc cũng vừa vặn thôi chứ ko rộng rãi, còn áo này mình mặc size XXL khá ưng!"
